"","nu_syn","PL_Index.x","X_band","Pivot_Energy.x","HR45","PLEC_Flux_Density","HR34","HR56","nuFnu_Band7","Flux_Band2","Flux_Band7","nuFnu_Band2","PLEC_Expfactor","Frac_Variability.x","HR67","Variability_Index.x","Flux_Band3","Npred","nuFnu_Band3","nuFnu_Band6","Flux_Band6","HR23","Flux_Band1","nuFnu_Band1","HS123","HS234","LP_beta.x","Energy_Flux100.x","Flux_Band4","LP_SigCurv","nuFnu_Band4","HR12","PLEC_SigCurv","HS345","HS456","Flux1000.x","nuFnu_Band5","Signif_Avg.x","Flux_Band5","nuFnu_syn","HS567","PLEC_Exp_Index","ASSOC_FGL","CLASS1","SpectrumType.y","CLASS","RA_Counterpart.y","DEC_Counterpart.y","SED_class","Source_Name","RAJ2000.x"
"344",7943282491392,2.49999308586121,0.263,872.369689941406,-0.447771511542211,8.25949660228364e-13,-0.271814403488701,-0.227908280773265,1.59991865675974e-13,9.24075838071303e-09,3.61892677283593e-12,2.11567785859956e-12,0.000786560238339007,0.511931777000427,-0.0655258973402586,36.1549110412598,2.04980876716832e-09,1077.90625,1.32847855979779e-12,1.82429321215344e-13,7.96806197411737e-12,-0.228560844274336,4.89509988099712e-09,7.68888045680344e-13,0.695455988157493,0.043253559214365,0.0585135668516159,5.59698511495843e-12,3.322239705561e-10,1.11393857002258,7.60629027211218e-13,0.466895143883157,0.413975566625595,0.17595710805351,-0.219863230768946,3.80037973313208e-10,2.90129357170821e-13,12.4160089492798,4.47662254488002e-11,1.55954893096832e-12,-0.162382383433006,0.666666686534882,"                  ","fsrq","PowerLaw","fsrq",93.1236015,-31.649498675,"LSP","4FGL J0612.5-3138",93.1279983520508
"345",222843522514944,1.98915016651154,0.277,1231.85363769531,0.00230715877193712,3.07894031451039e-12,0.12144754922621,-0.118633848964756,1.87352824226883e-12,1.63828079990935e-08,4.63508120773781e-11,4.17702417793153e-12,0.00179463706444949,0.212718591094017,-0.540875618400846,82.3142547607422,8.70057448310035e-09,4461.30810546875,6.22320077414695e-12,6.28778192707236e-12,2.72238287468696e-10,0.196743494072837,2.07599182289187e-08,3.43213977203882e-12,-0.0988504258211515,0.0752959448466267,0.108789794147015,4.0206081519667e-11,3.27542304390249e-09,8.35731506347656,7.94374115098417e-12,0.0978930682516852,8.44757652282715,0.119140390454273,0.120941007736693,4.81350692638216e-09,7.98048085948189e-12,78.5793609619141,1.1840062263957e-09,4.48122745508317e-12,0.42224176943609,0.666666686534882,"3FGL J0612.8+4122 ","bll","LogParabola","bll",93.2132718292,41.3770578472,"ISP","4FGL J0612.8+4122",93.2218017578125
"346",316227771695104,2.1200544834137,0.093,2309.64404296875,-0.0822978167326924,6.39008092859043e-14,-0.0630268236313208,-0.0971301637971833,2.98476114700755e-13,5.30903410123074e-09,5.8654257666102e-12,1.26078693925974e-12,0.000312820222461596,0.490188628435135,-0.118922472746732,22.0767555236816,9.10405140164272e-10,489.275421142578,6.16297702975277e-13,3.79049087039993e-13,1.59613364192346e-11,-0.343345857604524,6.1247415559379e-13,9.76518079807677e-17,1.34319096347913,-0.280319033973203,0.0442397706210613,3.6519142744551e-12,2.28742705332685e-10,0.724562108516693,5.43217163959109e-13,0.999845105874602,0.217492371797562,0.0192709931013715,0.0148323470644909,3.26982524390118e-10,4.60604807333426e-13,11.7613086700439,6.80413017595249e-11,8.21555659873824e-13,0.0217923089495484,0.666666686534882,"3FGL J0615.4-3116 ","bll","PowerLaw","bll",93.8300491,-31.2893266944,"ISP","4FGL J0615.3-3117",93.8394012451172
"347",331131120844275712,1.82821917533875,NA,7970.54931640625,0.128039911661133,2.40410629737933e-15,0.722755360686107,0.15760285337707,2.2643542043569e-13,2.28980974670756e-14,3.94898523603526e-12,5.5968036997976e-18,0.00258005480282009,0,-0.0451869891923689,6.8632173538208,3.20227247496696e-11,85.0886077880859,2.24382517503407e-14,2.47867752798531e-13,1.01409670591468e-11,0.99950126167655,2.62480481794114e-10,4.23376780953489e-14,-1.99923690783462,0.276745900990444,0.400925427675247,1.14479660560246e-12,5.70438453417754e-11,1.47027969360352,1.39427830175495e-13,-0.999735646158067,1.49132263660431,0.594715449024974,-0.0295629417159372,9.45948597230739e-11,1.80375408619787e-13,4.6181755065918,2.57422538146868e-11,9.99127646936215e-13,0.202789842569439,0.666666686534882,"                  ","bll","PowerLaw","bll",94.0428771972656,-17.5515270233154,"HSP","4FGL J0616.1-1732",94.0355987548828
"348",363078046711808,1.9259204864502,0.129,2659.55517578125,0.137797121844515,1.3014329197647e-13,0.103234078121365,0.126306310264048,5.7205471913277e-13,4.2786663101424e-09,1.33565866700103e-11,1.11660951752218e-12,0.00156291737221181,0.191437631845474,-0.564355419909448,14.6259307861328,1.33580546624046e-09,609.034301757812,9.8152063733592e-13,2.05419036815313e-12,8.726810246662e-11,-0.0643853670724237,6.55214771327906e-11,1.09365150263848e-14,1.04498657587334,-0.167619445193789,0.112744219601154,7.78621785102462e-12,4.87337448173975e-10,3.0907244682312,1.20750241403011e-12,0.980601208800912,3.62253284454346,-0.0345630437231498,0.0114908115804672,8.65397864480144e-10,1.59346808751432e-12,22.3827686309814,2.30757080110777e-10,4.20295742653565e-13,0.690661730173496,0.666666686534882,"3FGL J0617.6-1717 ","bll","LogParabola","bll",94.3892439292,-17.2569680306,"ISP","4FGL J0617.7-1715",94.4251022338867
"349",254097278107648,2.36282634735107,0.107,1387.63916015625,-0.185104503060928,1.6689492669808e-13,-0.198095219149438,-0.77306877872096,5.49203510445039e-16,1.30538047038442e-09,1.18343225166294e-14,3.0279389564257e-13,0.00422918796539307,0,-0.971775061050005,9.7369213104248,9.89547666030433e-10,486.616821289062,6.51346760815324e-13,3.83669841502645e-14,1.65404614917847e-12,0.365305537305899,8.49877501707397e-09,1.34211630524461e-12,-0.997146964905705,0.563400756455336,0.205945923924446,2.9232477983393e-12,1.87946269658568e-10,1.69360625743866,4.35957070140172e-13,-0.631841427599806,1.69768798351288,-0.0129907160885098,0.587964275660032,2.290302114627e-10,2.9977057077954e-13,7.11990213394165,4.5542139504029e-11,1.39762929961956e-12,0.198706282329045,0.666666686534882,"3FGL J0618.2-2429 ","fsrq","PowerLaw","fsrq",94.5943967833,-24.4438740306,"ISP","4FGL J0618.1-2428",94.5325012207031
"350",691830995577470976,2.0677535533905,NA,3461.8486328125,0.0273410583785095,1.36853851208786e-14,0.622368928457621,-0.0717076498078452,1.32667856735103e-13,3.06430281149517e-09,2.55344833818838e-12,7.31450165193659e-13,0.00101784418802708,0,-0.284560693534313,7.17866659164429,8.89787479807502e-11,205.255447387695,6.06042586991443e-14,2.38203174632995e-13,9.97917200262766e-12,-0.846969458484215,9.82296821661066e-09,1.56940649712056e-12,0.482776266595383,-1.46933838694184,0.156771600246429,1.66501567307881e-12,1.09076699061905e-10,1.1489953994751,2.60366462547998e-13,-0.364193191888832,0.930042266845703,0.595027870079111,0.0990487081863547,1.49887657840964e-10,2.7500405923829e-13,5.66349697113037,4.03759040090712e-11,2.18450474723242e-12,0.212853043726468,0.666666686534882,"                  ","bll","PowerLaw","bll",95.4567031860352,-34.1968994140625,"HSP","4FGL J0621.7-3411",95.432502746582
"351",2466039224860672,1.90891802310944,0.025,2310.95581054688,0.0207358501736761,3.96376101429244e-13,0.0986088710761027,0.174841212234638,3.87758748721101e-12,8.66973337565469e-09,6.99466318199171e-11,2.10216327851953e-12,0.000342241255566478,0.416676133871078,-0.113214139883152,122.137237548828,3.87770260346088e-09,2191.15063476562,2.6911417972536e-12,4.86767483959261e-12,2.00752470203014e-10,0.122875241492755,3.06631449120687e-08,4.93004118432006e-12,-0.525007733621494,0.0242663704166519,0.0283597894012928,2.36544221710044e-11,1.35271305268247e-09,1.649041056633,3.279943807874e-12,-0.40213249212874,2.2716863155365,0.0778730209024267,-0.154105362060962,2.05169925493465e-09,3.41884897128719e-12,50.4988708496094,4.9262660617444e-10,4.06359104351828e-12,0.28805535211779,0.666666686534882,"3FGL J0622.4-2606 ","bll","PowerLaw","bll",95.5919319625,-26.0957334139,"HSP","4FGL J0622.3-2605",95.5955963134766
"352",59566213562368,3.03618216514587,0.334,353.954071044922,0.210212202367596,3.3944225468624e-12,-0.818510305190166,0.36223052342567,4.10064531633568e-17,5.53047474483037e-09,1.09110527924739e-15,1.20581040811973e-12,-0.000508061784785241,0,-0.999552781060786,7.87520122528076,9.17418585544283e-10,594.33935546875,5.61294392041611e-13,1.83343235884113e-13,8.40907551924452e-12,-0.36472993340252,2.7403356028799e-08,4.21647265713698e-12,-0.190508923142627,0.453780371787646,-0.0655887052416801,2.46015447596948e-12,2.56927309288946e-11,0.67441201210022,5.60179107148093e-14,-0.555238856545147,0.246837839484215,-1.02872250755776,-0.152018321058074,7.19737741627924e-11,8.5837688682238e-14,4.64511299133301,1.40299083115081e-11,1.87021266528919e-11,1.36178330448646,0.666666686534882,"                  ","fsrq","PowerLaw","fsrq",95.7820679875,-64.6057561917,"LSP","4FGL J0622.4-6433",95.6140975952148
"353",1717908406272,2.73225545883179,0.244,499.576446533203,-0.18544778844993,2.5549859537094e-12,-0.519466847261977,-0.9993721868583,9.79254666243605e-20,9.26843668480615e-09,2.38934325260816e-18,2.07662012585708e-12,0.00393664930015802,0.4319908618927,-0.997346024923645,23.0803070068359,1.70969238766361e-09,948.370910644531,1.08005715915988e-12,7.3697391977616e-17,3.28928558517147e-15,-0.31569998346912,6.02464167442918e-09,9.37818290906722e-13,0.693482401785344,0.203766863792857,0.0882992520928383,4.14937875725663e-12,1.52450302381979e-10,1.21949529647827,3.41569329244396e-13,0.377782418316224,1.30316579341888,-0.334019058812047,0.813924398408371,2.04115835344965e-10,2.34701228720921e-13,8.8644962310791,3.7152378395966e-11,5.74396758455664e-13,-0.00202616193465543,0.666666686534882,"3FGL J0626.0-5436 ","fsrq","PowerLaw","fsrq",96.4676279458,-54.6474183667,"LSP","4FGL J0625.8-5441",96.4523010253906
"354",15667510267346944,2.23347949981689,NA,2463.81005859375,0.534439354109657,3.58605052391218e-14,-0.508242465807423,-0.279818364354773,1.46769722026915e-13,3.50365625401139e-09,3.01391875866253e-12,8.22901967921508e-13,0.000247834133915603,0,-0.26060756016336,8.78652763366699,6.19393869527585e-10,316.129302978516,4.13803675569993e-13,2.50231150904223e-13,1.06540505584451e-11,-0.330796818551371,4.66099736584624e-09,7.39816465467752e-13,0.38396410747466,0.177445647256052,-0.0337817594408989,2.47885544556181e-12,5.74443860534846e-11,0.514567017555237,1.3491933807154e-13,0.0531672889232888,0.253274589776993,-1.04268181991708,0.81425771846443,2.13007445015734e-10,4.44680072929013e-13,5.73097515106201,6.65610622174739e-11,4.68258851832326e-12,-0.0192108041914134,0.666666686534882,"                  ","bll","PowerLaw","bll",96.6094970703125,-17.1796112060547,"HSP","4FGL J0626.4-1712",96.6175003051758
"355",3019951761784832,1.90032684803009,0.024,3364.11083984375,0.225134737873591,3.1598269329856e-14,0.00970536703203118,0.151166100596679,1.9680746832576e-13,2.51565390740893e-09,3.53749538342663e-12,6.10494077166179e-13,0.00227152579464018,0.687865555286407,-0.610597619334795,29.8866672515869,5.35947008994953e-10,342.311706542969,3.72328985134493e-13,8.14010534325171e-13,3.35428108899638e-11,-0.242327537038223,3.43993861173786e-10,5.53264844962292e-14,1.0761371617873,-0.252032904070254,0.205319374799728,3.40652549571385e-12,1.56432339304402e-10,2.18892931938171,3.79626993902982e-13,0.833809624749073,2.60720801353455,-0.21542937084156,0.0739686372769122,2.94214930196546e-10,6.00225923651221e-13,11.9726362228394,8.63992002941849e-11,1.32169123735759e-12,0.761763719931474,0.666666686534882,"3FGL J0626.6-4259 ","bll","PowerLaw","bll",96.6529344708,-42.9683451806,"HSP","4FGL J0626.4-4259",96.6094970703125
"356",1778279400865792,1.81395208835602,0.065,1757.04504394531,0.129994100728717,1.41512301009283e-12,0.204720933901535,0.149248992130375,6.45131777859964e-12,9.27605547929033e-09,1.40526174030597e-10,2.40807005412458e-12,0.0011652895482257,0.269985675811768,-0.302203741778544,117.944328308105,6.16945383669076e-09,3391.96557617188,4.52966613870287e-12,1.20392307234596e-11,5.04868036266259e-10,0.305805240443085,2.01540728550498e-10,3.35213458282479e-14,0.666736155444126,0.10108430654155,0.092576690018177,4.73951780599613e-11,2.75829004081629e-09,7.16554641723633,6.86172169431232e-12,0.972541395887211,7.82659864425659,0.0747268331728181,-0.0192548914016585,4.81932538320962e-09,8.91224420651593e-12,85.424690246582,1.27745092282083e-09,5.6286984621845e-12,0.45145273390892,0.666666686534882,"3FGL J0630.9-2406 ","bll","LogParabola","bll",97.7480072125,-24.1128339444,"HSP","4FGL J0630.9-2406",97.7414016723633
"357",602559610880,2.59621214866638,0.357,667.306457519531,-0.631251732458354,2.10692401025891e-12,-0.255696834361971,-0.517415582898889,3.42652227522155e-18,5.1519655208665e-09,1.23274925212125e-16,1.28689810544036e-12,0.0114901047199965,0.881127715110779,-0.999890206889764,99.5090255737305,2.20359130942427e-09,881.166748046875,1.46467679564694e-12,6.24143748836903e-14,3.15169374973112e-12,0.0646097949709927,2.73532769767826e-08,4.54372607247566e-12,-0.623182576830405,0.320306629332964,0.289716780185699,4.87168378554559e-12,3.94994620345201e-10,3.56449961662292,8.68174184886356e-13,-0.558572781859412,3.45405650138855,0.375554898096383,-0.113836149559465,4.20978724102739e-10,1.96252804046844e-13,12.0356149673462,3.39042648123122e-11,5.25863478196414e-13,0.482474623990875,0.666666686534882,"                  ","fsrq","LogParabola","fsrq",98.3614722,-22.3895426361,"LSP","4FGL J0633.4-2222",98.3695983886719
"358",2570395844608,2.61204051971436,0.613,731.980041503906,-0.415354948689336,1.70822156333322e-12,-0.281257122433989,-0.999901658207228,2.09489131500832e-17,1.53014987347433e-08,4.91995275764398e-16,3.46665708292337e-12,0.00267694052308798,0.315228521823883,0.076308219003721,22.6547603607178,2.46505327261559e-09,1338.46801757812,1.57782294174513e-12,1.79784364328726e-17,7.93551339904223e-16,-0.374435845110194,1.29928849901262e-08,2.0319499121485e-12,0.635357778985578,-0.0931787226762046,0.079191617667675,7.44461957358222e-12,3.90677712402976e-10,1.53242599964142,8.85106495474713e-13,0.260921933875385,1.69609117507935,0.134097826255347,0.584546709517892,4.37322927870909e-10,3.65613680823607e-13,12.77308177948,5.71203015442556e-11,1.85557710689899e-12,-1.07620987721095,0.666666686534882,"3FGL J0634.7-2334 ","fsrq","PowerLaw","fsrq",98.7458374917,-23.5866547972,"LSP","4FGL J0634.9-2335",98.7304992675781
"359",6237348429824,2.70087313652039,2.996,515.647583007812,-0.531158780160597,6.64914737852351e-12,-0.393779856474739,-0.342688424725237,1.07322963992414e-13,2.1755139911761e-08,2.5932203433221e-12,4.88837963164013e-12,0.000458039459772408,0.96616518497467,-0.293334283402682,448.183288574219,4.75274486433364e-09,2530.54931640625,3.01267062512156e-12,1.96421682087736e-13,8.74150925256334e-12,-0.237399958937528,5.99933471789882e-08,9.35010662644897e-12,-0.075956876468628,0.156379897537211,0.0165401883423328,1.25213788990108e-11,5.83156078981517e-10,0.467911005020142,1.31035156683557e-12,-0.313356835406156,0.421650767326355,0.137378923685859,-0.188470355435361,6.46389552994009e-10,4.01229993240299e-13,25.9230422973633,6.32974575531797e-11,9.32571207756805e-12,-0.0493541413225551,0.666666686534882,"3FGL J0635.7-7517 ","fsrq","PowerLaw","fsrq",98.9437828667,-75.2713376167,"LSP","4FGL J0635.6-7518",98.9021987915039
"360",13489629298688,3.02699780464172,0.876,324.585510253906,-0.527037606463331,9.48489897734106e-12,-0.595204983754172,-0.814371559314297,7.67138748261356e-17,1.15466409766896e-08,2.03629240442952e-15,2.51954208364824e-12,0.00162665243260562,0.568066477775574,-0.98222485303249,51.8354072570801,1.73727232599674e-09,1374.19348144531,1.06389755945985e-12,8.5548743721073e-15,3.92055609981998e-13,-0.40621432733993,4.7585576368192e-08,7.32439456307965e-12,-0.0818884156849898,0.188990656414243,0.00596413621678948,5.09013360974753e-12,1.23723586931135e-10,0.107968680560589,2.69971843274916e-13,-0.488102743024919,0.43311133980751,-0.0681673772908413,0.287333952850966,1.51440873730202e-10,8.36171477652976e-14,10.2807397842407,1.36541116954603e-11,1.40669845563601e-11,0.167853293718194,0.666666686534882,"3FGL J0638.6+7324 ","fsrq","PowerLaw","fsrq",99.8415052667,73.4161224694,"LSP","4FGL J0638.6+7320",99.6710968017578
"361",15776112181248,2.15682530403137,0.278,995.039184570312,-0.112474003143576,2.3462503641325e-12,-0.0218831393774727,-0.238506119186209,1.12103821234624e-13,1.35384183863607e-08,2.83640775797234e-12,3.34374325103304e-12,0.00202881661243737,1.36471569538116,-0.880232713754938,1320.4033203125,5.41461542269417e-09,2837.90405273438,3.74839048689068e-12,1.75992358707189e-12,7.72239841517752e-11,0.0570557819142457,5.93066262766229e-09,9.66784269827714e-13,0.494375329406134,0.0789389212917185,0.0895989015698433,1.80241117170299e-11,1.51320433960933e-09,4.73064136505127,3.58785050280641e-12,0.55143111132038,5.27234935760498,0.0905908637661029,0.126032116042633,2.03217620509122e-09,2.86236854531163e-12,52.6069145202637,4.33857422210693e-10,2.43223193321929e-12,0.641726594568729,0.666666686534882,"3FGL J0644.3-6713 ","fsrq","LogParabola","fsrq",101.116850517,-67.2159327667,"LSP","4FGL J0644.4-6712",101.10530090332
